Branch,Date,Source,Brand Name,Net Sales
AECS Layout,2025-11-01,Swiggy,Madno,34109.46
AECS Layout,2025-11-01,Zomato,Boba Bar,5132.48
AECS Layout,2025-11-01,Zomato,Frozen Bottle,157991.38
AECS Layout,2025-11-01,Zomato,Madno,21290.84
AECS Layout,2025-12-01,In Store,Boba Bar,7812.0
AECS Layout,2025-12-01,In Store,Frozen Bottle,268215.71
AECS Layout,2025-12-01,Swiggy,Boba Bar,10687.97
AECS Layout,2025-12-01,Swiggy,Frozen Bottle,316894.6
AECS Layout,2025-12-01,Swiggy,Madno,31615.22
AECS Layout,2025-12-01,Zomato,Boba Bar,1557.5
AECS Layout,2025-12-01,Zomato,Frozen Bottle,140115.68
AECS Layout,2025-12-01,Zomato,Madno,18094.28
AECS Layout,2026-01-01,In Store,Boba Bar,3524.0
AECS Layout,2026-01-01,In Store,Frozen Bottle,251436.39
AECS Layout,2026-01-01,Swiggy,Boba Bar,9419.2
AECS Layout,2026-01-01,Swiggy,Frozen Bottle,306488.39
AECS Layout,2026-01-01,Swiggy,Madno,54102.01
AECS Layout,2026-01-01,Zomato,Boba Bar,1820.8400000000001
AECS Layout,2026-01-01,Zomato,Frozen Bottle,144641.58
AECS Layout,2026-01-01,Zomato,Madno,31436.34
AECS Layout,2026-02-01,In Store,Boba Bar,2349.0
AECS Layout,2026-02-01,In Store,Frozen Bottle,237605.14
AECS Layout,2026-02-01,Ownly,Boba Bar,74.25
AECS Layout,2026-02-01,Ownly,Frozen Bottle,900.75
AECS Layout,2026-02-01,Ownly,Madno,74.25
AECS Layout,2026-02-01,Swiggy,Boba Bar,15153.76
AECS Layout,2026-02-01,Swiggy,Frozen Bottle,358758.02
AECS Layout,2026-02-01,Swiggy,Madno,58105.1
AECS Layout,2026-02-01,Zomato,Boba Bar,8276.78
AECS Layout,2026-02-01,Zomato,Frozen Bottle,182688.91
AECS Layout,2026-02-01,Zomato,Madno,42333.92
AECS Layout,2026-03-01,In Store,Frozen Bottle,301976.8
AECS Layout,2026-03-01,Ownly,Boba Bar,380.73
AECS Layout,2026-03-01,Ownly,Frozen Bottle,9700.09
AECS Layout,2026-03-01,Ownly,Madno,817.38
AECS Layout,2026-03-01,Swiggy,Boba Bar,16998.14
AECS Layout,2026-03-01,Swiggy,Frozen Bottle,440844.43
AECS Layout,2026-03-01,Swiggy,Madno,58422.08
AECS Layout,2026-03-01,Zomato,Boba Bar,5657.64
AECS Layout,2026-03-01,Zomato,Frozen Bottle,153165.74
AECS Layout,2026-03-01,Zomato,Madno,59391.97
AECS Layout,2026-04-01,In Store,Frozen Bottle,338369.16
AECS Layout,2026-04-01,Ownly,Boba Bar,1737.75
AECS Layout,2026-04-01,Ownly,Frozen Bottle,5210.32
AECS Layout,2026-04-01,Ownly,Madno,6140.25
AECS Layout,2026-04-01,Swiggy,Boba Bar,13888.87
AECS Layout,2026-04-01,Swiggy,Frozen Bottle,454377.93
AECS Layout,2026-04-01,Swiggy,Madno,81660.36
AECS Layout,2026-04-01,Zomato,Boba Bar,3241.5
AECS Layout,2026-04-01,Zomato,Frozen Bottle,100739.33
AECS Layout,2026-04-01,Zomato,Madno,72573.12
AECS Layout,2026-05-01,In Store,Boba Bar,966.0
AECS Layout,2026-05-01,In Store,Frozen Bottle,352422.71
AECS Layout,2026-05-01,Ownly,Boba Bar,2912.25
AECS Layout,2026-05-01,Ownly,Frozen Bottle,11269.0
AECS Layout,2026-05-01,Ownly,Madno,9609.25
AECS Layout,2026-05-01,Swiggy,Boba Bar,17767.5
AECS Layout,2026-05-01,Swiggy,Frozen Bottle,422592.77
AECS Layout,2026-05-01,Swiggy,Madno,82459.76
AECS Layout,2026-05-01,Zomato,Boba Bar,1876.0
AECS Layout,2026-05-01,Zomato,Frozen Bottle,168288.04
AECS Layout,2026-05-01,Zomato,Madno,81945.56
AECS Layout,2026-06-01,In Store,Boba Bar,467.0
AECS Layout,2026-06-01,In Store,Frozen Bottle,297784.84
AECS Layout,2026-06-01,Ownly,Boba Bar,564.0
AECS Layout,2026-06-01,Ownly,Frozen Bottle,14123.0
AECS Layout,2026-06-01,Ownly,Madno,7471.0
AECS Layout,2026-06-01,Swiggy,Boba Bar,5017.62
AECS Layout,2026-06-01,Swiggy,Frozen Bottle,294298.42
AECS Layout,2026-06-01,Swiggy,Madno,54302.1
AECS Layout,2026-06-01,Zomato,Boba Bar,1683.5
AECS Layout,2026-06-01,Zomato,Frozen Bottle,169518.7
AECS Layout,2026-06-01,Zomato,Madno,61212.02
AECS Layout,2026-07-01,In Store,Frozen Bottle,370444.7
AECS Layout,2026-07-01,Ownly,Frozen Bottle,9754.16
AECS Layout,2026-07-01,Ownly,Madno,4254.0
AECS Layout,2026-07-01,Swiggy,Frozen Bottle,296838.51
AECS Layout,2026-07-01,Swiggy,Madno,56939.97
AECS Layout,2026-07-01,Zomato,Frozen Bottle,153617.99
AECS Layout,2026-07-01,Zomato,Madno,44781.0
AECS Layout,2026-08-01,In Store,Frozen Bottle,348844.46
AECS Layout,2026-08-01,Others,Frozen Bottle,256.18
AECS Layout,2026-08-01,Ownly,Frozen Bottle,25311.0
AECS Layout,2026-08-01,Ownly,Madno,13748.5
AECS Layout,2026-08-01,Swiggy,Frozen Bottle,281592.58
AECS Layout,2026-08-01,Swiggy,Madno,41565.71
AECS Layout,2026-08-01,Zomato,Boba Bar,2682.54
AECS Layout,2026-08-01,Zomato,Frozen Bottle,150542.12
AECS Layout,2026-08-01,Zomato,Madno,58340.75
Adoor,2025-01-01,In Store,Frozen Bottle,135763.32
Adoor,2025-01-01,Swiggy,Frozen Bottle,129247.01000000001
Adoor,2025-01-01,Zomato,Frozen Bottle,9241.8
Adoor,2025-02-01,In Store,Frozen Bottle,106068.4
Adoor,2025-02-01,Swiggy,Frozen Bottle,116829.28
Adoor,2025-02-01,Zomato,Frozen Bottle,11524.7
Adoor,2025-03-01,In Store,Frozen Bottle,111339.68
Adoor,2025-03-01,Swiggy,Frozen Bottle,134921.19
Adoor,2025-03-01,Zomato,Frozen Bottle,19026.6
Adoor,2025-04-01,In Store,Frozen Bottle,171959.9
Adoor,2025-04-01,Swiggy,Frozen Bottle,139073.88
Adoor,2025-04-01,Zomato,Frozen Bottle,11174.82
Adoor,2025-05-01,In Store,Frozen Bottle,216572.6
Adoor,2025-05-01,Swiggy,Frozen Bottle,143927.82
Adoor,2025-05-01,Zomato,Frozen Bottle,17214.3
Adoor,2025-06-01,In Store,Frozen Bottle,197593.8
Adoor,2025-06-01,Swiggy,Frozen Bottle,100611.98
Adoor,2025-06-01,Zomato,Frozen Bottle,21559.9
Adoor,2025-07-01,In Store,Frozen Bottle,181223.8
Adoor,2025-07-01,Swiggy,Frozen Bottle,83424.41
Adoor,2025-07-01,Zomato,Frozen Bottle,14406.92
Adoor,2025-08-01,In Store,Frozen Bottle,203771.37
Adoor,2025-08-01,Swiggy,Frozen Bottle,125522.69
Adoor,2025-08-01,Zomato,Frozen Bottle,23899.65
Adoor,2025-09-01,In Store,Frozen Bottle,216975.93
Adoor,2025-09-01,Swiggy,Frozen Bottle,96851.58
Adoor,2025-09-01,Zomato,Frozen Bottle,21180.07
Adoor,2025-10-01,In Store,Frozen Bottle,183266.04
Adoor,2025-10-01,Swiggy,Frozen Bottle,119171.8
Adoor,2025-10-01,Zomato,Frozen Bottle,28259.18
Adoor,2025-11-01,In Store,Frozen Bottle,159277.16
Adoor,2025-11-01,Swiggy,Frozen Bottle,108511.11
Adoor,2025-11-01,Zomato,Frozen Bottle,19593.4
Adoor,2025-12-01,In Store,Frozen Bottle,189138.68
Adoor,2025-12-01,Swiggy,Frozen Bottle,142883.15
Adoor,2025-12-01,Zomato,Frozen Bottle,31011.239999999998
Adoor,2026-01-01,In Store,Frozen Bottle,177062.96
Adoor,2026-01-01,Swiggy,Frozen Bottle,130014.85
Adoor,2026-01-01,Zomato,Frozen Bottle,18732.38
Adoor,2026-02-01,In Store,Frozen Bottle,143815.96
Adoor,2026-02-01,Swiggy,Frozen Bottle,103199.88
Adoor,2026-02-01,Zomato,Frozen Bottle,18954.42
Adoor,2026-03-01,In Store,Frozen Bottle,145554.52
Adoor,2026-03-01,Swiggy,Frozen Bottle,122716.56
Adoor,2026-03-01,Zomato,Frozen Bottle,28158.68
Adoor,2026-04-01,In Store,Frozen Bottle,193684.04
Adoor,2026-04-01,Swiggy,Frozen Bottle,131240.73
Adoor,2026-04-01,Zomato,Frozen Bottle,36851.86
Adoor,2026-05-01,In Store,Frozen Bottle,179556.0
Adoor,2026-05-01,Swiggy,Frozen Bottle,118299.37
Adoor,2026-05-01,Zomato,Frozen Bottle,30642.63
Adoor,2026-06-01,In Store,Frozen Bottle,126701.84
Adoor,2026-06-01,Swiggy,Frozen Bottle,92360.41
Adoor,2026-06-01,Zomato,Frozen Bottle,23336.66
Adoor,2026-07-01,In Store,Frozen Bottle,152188.84
Adoor,2026-07-01,Swiggy,Frozen Bottle,99354.29
Adoor,2026-07-01,Zomato,Frozen Bottle,19783.52
Adoor,2026-08-01,In Store,Frozen Bottle,157094.99
Adoor,2026-08-01,Swiggy,Frozen Bottle,82707.69
Adoor,2026-08-01,Zomato,Frozen Bottle,37285.79
Agra,2025-01-01,In Store,Frozen Bottle,66510.3
Agra,2025-01-01,Swiggy,Frozen Bottle,6445.01
Agra,2025-01-01,Zomato,Frozen Bottle,57469.28
Agra,2025-02-01,In Store,Frozen Bottle,73126.6
Agra,2025-02-01,Swiggy,Frozen Bottle,8111.02
Agra,2025-02-01,Zomato,Frozen Bottle,63485.36
Agra,2025-03-01,In Store,Frozen Bottle,34468.4
Agra,2025-03-01,Swiggy,Frozen Bottle,7854.73
Agra,2025-03-01,Zomato,Frozen Bottle,87359.0
Agra,2025-04-01,In Store,Frozen Bottle,66386.09
Agra,2025-04-01,Swiggy,Frozen Bottle,7848.43
Agra,2025-04-01,Zomato,Frozen Bottle,95461.7
Agra,2025-05-01,In Store,Frozen Bottle,67279.1
Agra,2025-05-01,Swiggy,Frozen Bottle,9286.03
Agra,2025-05-01,Zomato,Frozen Bottle,91064.08
Agra,2025-06-01,In Store,Frozen Bottle,67404.8
Agra,2025-06-01,Swiggy,Frozen Bottle,4908.75
Agra,2025-06-01,Zomato,Frozen Bottle,54280.4
Agra,2025-07-01,In Store,Frozen Bottle,50078.39
Agra,2025-07-01,Swiggy,Frozen Bottle,5169.01
Agra,2025-07-01,Zomato,Frozen Bottle,42926.6
Agra,2025-08-01,In Store,Frozen Bottle,47617.95
Agra,2025-08-01,Swiggy,Frozen Bottle,5729.12
Agra,2025-08-01,Zomato,Frozen Bottle,52010.7
Agra,2025-09-01,In Store,Frozen Bottle,47795.34
Agra,2025-09-01,Swiggy,Frozen Bottle,4747.02
Agra,2025-09-01,Zomato,Frozen Bottle,36800.0
Agra,2025-10-01,In Store,Frozen Bottle,48843.72
Agra,2025-10-01,Swiggy,Frozen Bottle,10136.449999999999
Agra,2025-10-01,Zomato,Frozen Bottle,42805.4
Agra,2025-11-01,In Store,Frozen Bottle,33457.25
Agra,2025-11-01,Swiggy,Frozen Bottle,2793.0
Agra,2025-11-01,Zomato,Frozen Bottle,28101.11
Agra,2025-12-01,In Store,Frozen Bottle,48048.08
Agra,2025-12-01,Swiggy,Frozen Bottle,5452.01
Agra,2025-12-01,Zomato,Frozen Bottle,32242.8
Agra,2026-01-01,In Store,Frozen Bottle,40919.09
Agra,2026-01-01,Swiggy,Frozen Bottle,6969.65
Agra,2026-01-01,Zomato,Frozen Bottle,21221.81
Agra,2026-02-01,In Store,Frozen Bottle,47281.21
Agra,2026-02-01,Swiggy,Frozen Bottle,6052.41
Agra,2026-02-01,Zomato,Frozen Bottle,26414.600000000002
Agra,2026-03-01,In Store,Frozen Bottle,64506.04
Agra,2026-03-01,Swiggy,Frozen Bottle,10106.83
Agra,2026-03-01,Zomato,Frozen Bottle,29186.9
Agra,2026-04-01,In Store,Frozen Bottle,51679.7
Agra,2026-04-01,Swiggy,Frozen Bottle,4870.29
Agra,2026-04-01,Zomato,Frozen Bottle,21297.2
Agra,2026-05-01,In Store,Frozen Bottle,43957.51
Agra,2026-05-01,Swiggy,Frozen Bottle,6369.0
Agra,2026-05-01,Zomato,Frozen Bottle,23016.4
Agra,2026-06-01,In Store,Frozen Bottle,43299.05
Agra,2026-06-01,Swiggy,Frozen Bottle,5672.92
Agra,2026-06-01,Zomato,Frozen Bottle,29777.2
Agra,2026-07-01,In Store,Frozen Bottle,38753.55
Agra,2026-07-01,Swiggy,Frozen Bottle,5019.0
Agra,2026-07-01,Zomato,Frozen Bottle,23190.59
Agra,2026-08-01,In Store,Frozen Bottle,33870.5
Agra,2026-08-01,Swiggy,Frozen Bottle,4646.0
Agra,2026-08-01,Zomato,Frozen Bottle,29157.2
Ahmedabad 2,2025-08-01,In Store,Frozen Bottle,33986.71
Ahmedabad 2,2025-08-01,Swiggy,Frozen Bottle,8480.25
Ahmedabad 2,2025-08-01,Zomato,Frozen Bottle,10601.12
Ahmedabad 2,2025-09-01,In Store,Frozen Bottle,36110.5
Ahmedabad 2,2025-09-01,Swiggy,Frozen Bottle,14830.94
Ahmedabad 2,2025-09-01,Zomato,Frozen Bottle,29218.09
Ahmedabad 2,2025-10-01,In Store,Frozen Bottle,22902.91
Ahmedabad 2,2025-10-01,Swiggy,Frozen Bottle,11844.71
Ahmedabad 2,2025-10-01,Zomato,Frozen Bottle,19677.82
Ahmedabad 2,2025-11-01,In Store,Frozen Bottle,32097.2
Ahmedabad 2,2025-11-01,Swiggy,Frozen Bottle,13657.06
Ahmedabad 2,2025-11-01,Zomato,Frozen Bottle,13552.7
Ahmedabad 2,2025-12-01,In Store,Frozen Bottle,16118.71
Ahmedabad 2,2025-12-01,Swiggy,Frozen Bottle,9725.2
Ahmedabad 2,2025-12-01,Zomato,Frozen Bottle,16460.8
Ahmedabad 2,2026-01-01,In Store,Frozen Bottle,11924.58
Ahmedabad 2,2026-01-01,Swiggy,Frozen Bottle,4447.87
Ahmedabad 2,2026-01-01,Zomato,Frozen Bottle,10887.32
Ahmedabad 2,2026-02-01,In Store,Frozen Bottle,12677.24
Ahmedabad 2,2026-02-01,Swiggy,Frozen Bottle,9838.97
Ahmedabad 2,2026-02-01,Zomato,Frozen Bottle,17332.87
Ahmedabad 2,2026-03-01,In Store,Frozen Bottle,8467.69
Ahmedabad 2,2026-03-01,Swiggy,Frozen Bottle,6931.02
Ahmedabad 2,2026-03-01,Zomato,Frozen Bottle,8094.85
Ahmedabad 2,2026-04-01,Swiggy,Frozen Bottle,1899.3700000000001
Ahmedabad 2,2026-04-01,Zomato,Frozen Bottle,2331.65
Akshay Nagar,2025-01-01,In Store,Frozen Bottle,78575.13
Akshay Nagar,2025-01-01,Others,Frozen Bottle,14598.92
Akshay Nagar,2025-01-01,Swiggy,Boba Bar,5028.9
Akshay Nagar,2025-01-01,Swiggy,Frozen Bottle,67699.34
Akshay Nagar,2025-01-01,Swiggy,Madno,7478.99
Akshay Nagar,2025-01-01,Zomato,Boba Bar,3823.42
Akshay Nagar,2025-01-01,Zomato,Frozen Bottle,74153.17
Akshay Nagar,2025-01-01,Zomato,Madno,8210.26
Akshay Nagar,2025-02-01,In Store,Frozen Bottle,80203.36
Akshay Nagar,2025-02-01,Others,Frozen Bottle,10137.11
Akshay Nagar,2025-02-01,Swiggy,Boba Bar,4641.47
Akshay Nagar,2025-02-01,Swiggy,Frozen Bottle,102379.13
Akshay Nagar,2025-02-01,Swiggy,Madno,11874.99
Akshay Nagar,2025-02-01,Zomato,Boba Bar,6202.0
Akshay Nagar,2025-02-01,Zomato,Frozen Bottle,93679.67
Akshay Nagar,2025-02-01,Zomato,Madno,11197.1
Akshay Nagar,2025-03-01,In Store,Boba Bar,3366.0
Akshay Nagar,2025-03-01,In Store,Frozen Bottle,94858.6
Akshay Nagar,2025-03-01,Others,Frozen Bottle,10981.43
Akshay Nagar,2025-03-01,Swiggy,Boba Bar,5485.45
Akshay Nagar,2025-03-01,Swiggy,Frozen Bottle,112705.53
Akshay Nagar,2025-03-01,Swiggy,Madno,19242.28
Akshay Nagar,2025-03-01,Zomato,Boba Bar,7033.5
Akshay Nagar,2025-03-01,Zomato,Frozen Bottle,136854.6
Akshay Nagar,2025-03-01,Zomato,Madno,22719.3
Akshay Nagar,2025-04-01,In Store,Boba Bar,8632.0
Akshay Nagar,2025-04-01,In Store,Frozen Bottle,54393.53
Akshay Nagar,2025-04-01,Others,Frozen Bottle,8251.619999999999
Akshay Nagar,2025-04-01,Swiggy,Boba Bar,9214.24
Akshay Nagar,2025-04-01,Swiggy,Frozen Bottle,116019.46
Akshay Nagar,2025-04-01,Swiggy,Madno,24966.66
Akshay Nagar,2025-04-01,Zomato,Boba Bar,9332.0
Akshay Nagar,2025-04-01,Zomato,Frozen Bottle,140782.8
Akshay Nagar,2025-04-01,Zomato,Madno,24238.9
Akshay Nagar,2025-05-01,In Store,Boba Bar,3503.0
Akshay Nagar,2025-05-01,In Store,Frozen Bottle,45033.13
Akshay Nagar,2025-05-01,Others,Frozen Bottle,2067.38
Akshay Nagar,2025-05-01,Swiggy,Boba Bar,5526.99
Akshay Nagar,2025-05-01,Swiggy,Frozen Bottle,96993.86
Akshay Nagar,2025-05-01,Swiggy,Madno,23726.81
Akshay Nagar,2025-05-01,Zomato,Boba Bar,4282.5
Akshay Nagar,2025-05-01,Zomato,Frozen Bottle,105318.41
Akshay Nagar,2025-05-01,Zomato,Madno,22933.7
Akshay Nagar,2025-06-01,In Store,Boba Bar,4947.0
Akshay Nagar,2025-06-01,In Store,Frozen Bottle,56203.4
Akshay Nagar,2025-06-01,Others,Frozen Bottle,4219.93
Akshay Nagar,2025-06-01,Swiggy,Boba Bar,7802.2
Akshay Nagar,2025-06-01,Swiggy,Frozen Bottle,78505.84
Akshay Nagar,2025-06-01,Swiggy,Madno,18349.87
Akshay Nagar,2025-06-01,Zomato,Boba Bar,4496.0
Akshay Nagar,2025-06-01,Zomato,Frozen Bottle,79370.05
Akshay Nagar,2025-06-01,Zomato,Madno,24343.0
Akshay Nagar,2025-07-01,In Store,Boba Bar,1494.0
Akshay Nagar,2025-07-01,In Store,Frozen Bottle,22701.74
Akshay Nagar,2025-07-01,Others,Frozen Bottle,4077.21
Akshay Nagar,2025-07-01,Swiggy,Boba Bar,6349.14
Akshay Nagar,2025-07-01,Swiggy,Frozen Bottle,82806.71
Akshay Nagar,2025-07-01,Swiggy,Madno,12618.9
Akshay Nagar,2025-07-01,Zomato,Boba Bar,3038.08
Akshay Nagar,2025-07-01,Zomato,Frozen Bottle,85076.67
Akshay Nagar,2025-07-01,Zomato,Madno,17808.0
Akshay Nagar,2025-08-01,In Store,Boba Bar,1454.0
Akshay Nagar,2025-08-01,In Store,Frozen Bottle,14658.17
Akshay Nagar,2025-08-01,Others,Frozen Bottle,7560.5
Akshay Nagar,2025-08-01,Swiggy,Boba Bar,8578.44
Akshay Nagar,2025-08-01,Swiggy,Frozen Bottle,90699.17
Akshay Nagar,2025-08-01,Swiggy,Madno,17000.49
Akshay Nagar,2025-08-01,Zomato,Boba Bar,3229.0
Akshay Nagar,2025-08-01,Zomato,Frozen Bottle,98697.17
Akshay Nagar,2025-08-01,Zomato,Madno,10211.8
Akshay Nagar,2025-09-01,In Store,Boba Bar,1015.0
Akshay Nagar,2025-09-01,In Store,Frozen Bottle,6511.48
Akshay Nagar,2025-09-01,Others,Frozen Bottle,5552.7
Akshay Nagar,2025-09-01,Swiggy,Boba Bar,5531.74
Akshay Nagar,2025-09-01,Swiggy,Frozen Bottle,99925.99
Akshay Nagar,2025-09-01,Swiggy,Madno,19587.19
Akshay Nagar,2025-09-01,Zomato,Boba Bar,2589.85
Akshay Nagar,2025-09-01,Zomato,Frozen Bottle,78801.03
Akshay Nagar,2025-09-01,Zomato,Madno,14939.02
Akshay Nagar,2025-10-01,In Store,Boba Bar,498.0
Akshay Nagar,2025-10-01,In Store,Frozen Bottle,27469.829999999998
Akshay Nagar,2025-10-01,Others,Frozen Bottle,999.54
Akshay Nagar,2025-10-01,Swiggy,Boba Bar,5204.03
Akshay Nagar,2025-10-01,Swiggy,Frozen Bottle,88983.17
Akshay Nagar,2025-10-01,Swiggy,Madno,12598.87
Akshay Nagar,2025-10-01,Zomato,Boba Bar,1305.5
Akshay Nagar,2025-10-01,Zomato,Frozen Bottle,68400.76
Akshay Nagar,2025-10-01,Zomato,Madno,8561.93
Akshay Nagar,2025-11-01,In Store,Boba Bar,1036.0
Akshay Nagar,2025-11-01,In Store,Frozen Bottle,49892.96
Akshay Nagar,2025-11-01,Others,Frozen Bottle,4762.32
Akshay Nagar,2025-11-01,Swiggy,Boba Bar,5536.25
Akshay Nagar,2025-11-01,Swiggy,Frozen Bottle,100832.12
Akshay Nagar,2025-11-01,Swiggy,Madno,19009.75
Akshay Nagar,2025-11-01,Zomato,Boba Bar,3330.8
Akshay Nagar,2025-11-01,Zomato,Frozen Bottle,86126.31
Akshay Nagar,2025-11-01,Zomato,Madno,8758.9
Akshay Nagar,2025-12-01,In Store,Boba Bar,1394.0
Akshay Nagar,2025-12-01,In Store,Frozen Bottle,39961.51
Akshay Nagar,2025-12-01,Others,Frozen Bottle,5969.64
Akshay Nagar,2025-12-01,Swiggy,Boba Bar,3482.45
Akshay Nagar,2025-12-01,Swiggy,Frozen Bottle,92770.27
Akshay Nagar,2025-12-01,Swiggy,Madno,20354.65
Akshay Nagar,2025-12-01,Zomato,Boba Bar,1202.3
Akshay Nagar,2025-12-01,Zomato,Frozen Bottle,54690.87
Akshay Nagar,2025-12-01,Zomato,Madno,9486.18
Akshay Nagar,2026-01-01,In Store,Boba Bar,1504.0
Akshay Nagar,2026-01-01,In Store,Frozen Bottle,31988.07
Akshay Nagar,2026-01-01,Swiggy,Boba Bar,6465.07
Akshay Nagar,2026-01-01,Swiggy,Frozen Bottle,84210.63
Akshay Nagar,2026-01-01,Swiggy,Madno,17636.06
Akshay Nagar,2026-01-01,Zomato,Boba Bar,2060.7000000000003
Akshay Nagar,2026-01-01,Zomato,Frozen Bottle,48346.84
Akshay Nagar,2026-01-01,Zomato,Madno,14618.2
Akshay Nagar,2026-02-01,In Store,Boba Bar,1293.0
Akshay Nagar,2026-02-01,In Store,Frozen Bottle,40887.18
Akshay Nagar,2026-02-01,Swiggy,Boba Bar,2645.57
Akshay Nagar,2026-02-01,Swiggy,Frozen Bottle,64409.97
Akshay Nagar,2026-02-01,Swiggy,Madno,7350.51
Akshay Nagar,2026-02-01,Zomato,Boba Bar,1717.4
Akshay Nagar,2026-02-01,Zomato,Frozen Bottle,76628.69
Akshay Nagar,2026-02-01,Zomato,Madno,7546.0
Akshay Nagar,2026-03-01,In Store,Boba Bar,876.0
Akshay Nagar,2026-03-01,In Store,Frozen Bottle,43098.19
Akshay Nagar,2026-03-01,Swiggy,Boba Bar,4651.53
Akshay Nagar,2026-03-01,Swiggy,Frozen Bottle,91309.9
Akshay Nagar,2026-03-01,Zomato,Boba Bar,2884.5
Akshay Nagar,2026-03-01,Zomato,Frozen Bottle,81861.05
Akshay Nagar,2026-04-01,In Store,Frozen Bottle,20018.16
Akshay Nagar,2026-04-01,Ownly,Boba Bar,100.84
Akshay Nagar,2026-04-01,Ownly,Frozen Bottle,399.84000000000003
Akshay Nagar,2026-04-01,Swiggy,Boba Bar,13749.1
Akshay Nagar,2026-04-01,Swiggy,Frozen Bottle,128404.41
Akshay Nagar,2026-04-01,Zomato,Boba Bar,2436.6
Akshay Nagar,2026-04-01,Zomato,Frozen Bottle,73159.45
Akshay Nagar,2026-05-01,In Store,Frozen Bottle,36587.0
Akshay Nagar,2026-05-01,Ownly,Boba Bar,1204.0
Akshay Nagar,2026-05-01,Ownly,Frozen Bottle,5286.84
Akshay Nagar,2026-05-01,Swiggy,Boba Bar,18246.41
Akshay Nagar,2026-05-01,Swiggy,Frozen Bottle,143645.59
Akshay Nagar,2026-05-01,Zomato,Boba Bar,2512.4
Akshay Nagar,2026-05-01,Zomato,Frozen Bottle,85885.49
Akshay Nagar,2026-05-01,Zomato,Madno,387.2
Akshay Nagar,2026-06-01,In Store,Boba Bar,458.0
Akshay Nagar,2026-06-01,In Store,Frozen Bottle,21736.99
Akshay Nagar,2026-06-01,Ownly,Boba Bar,1063.0
Akshay Nagar,2026-06-01,Ownly,Frozen Bottle,300.84000000000003
Akshay Nagar,2026-06-01,Swiggy,Boba Bar,14840.49
Akshay Nagar,2026-06-01,Swiggy,Frozen Bottle,113017.34
Akshay Nagar,2026-06-01,Zomato,Boba Bar,4695.66
Akshay Nagar,2026-06-01,Zomato,Frozen Bottle,86633.18
Akshay Nagar,2026-07-01,In Store,Frozen Bottle,20231.76
Akshay Nagar,2026-07-01,Ownly,Boba Bar,444.0
Akshay Nagar,2026-07-01,Ownly,Frozen Bottle,6882.0
Akshay Nagar,2026-07-01,Swiggy,Boba Bar,9988.41
Akshay Nagar,2026-07-01,Swiggy,Frozen Bottle,130880.0
